Nom,Contact,Adresse,Code Postal,Ville,Tel,Adresse perso,Repré,Groupement,SP,,,,Remarque,
,,,,,,,,,,,,,,
Librairie Goulard,"Matthieu Colombe, Marie-Jo Sotto",37 Cours Mirabeau,13100,Aix en Provence,,,,,,,,,,: fichier automatique
Librairie de Provence,Janique Garcia,"5, rue de Littéra",13100,Aix les bains,,,,,,,,,,: fichier polar automatique
Librairie Martelle,Pierrick et Sylviane (littérature + polar) ,"3, rue des Vergeaux",80000,Amiens,,,,,,,,,,
Librairie Richer,anne dubreuil,"6, rue Chaperonnière",49100,Angers,,,,,,,,,,
Librairie Cosmopolite,"Philippe, Charline B.",Galerie du Champ de Mars,16000,Angoulême,,,,,,,,,,
La Parenthèse,Pascal Estragnat / Françoise (a aimé Spada),9 Boulevard de la République,07100,Annonay,,,,,Lortchenkov,,,,,: à interroger pour chaque envoi
Forum Harmonia Mundi,Joëlle Carrère,"3-5, rue du Président Wilson",13200,Arles,,,,,,,,,,
Librairie Actes Sud,Françoise Nyssen et Rémi Rayllard,Place Nina Berberova,13200,Arles,,,,,,,,,,
Les petits papiers,Pascal Pradon,"22, rue Dessoles",32000,Auch,,,,,,,,,à vérifier,
Librairie Obliques,Grégoire Courtois,"68, rue Joubert",89000,Auxerre,,,,,,,,,,
L'Autre monde,Carole Amicel et Evelyne Levallois,42 Grande rue Aristide Briand,89200,Avallon,,,,,,,,,,
Librairie L'Alinéa,Bénédicte Gelly / Nadine Boinay,"20, rue d'Espagne",64100,Bayonne,,,,,,,,,,
Darrieumerlou,,"2, place du réduit",64100,Bayonne,,,,,,,,,,
La rue en pente,Philippe Madelainne / Gérard Felices,"29, rue des poissonneries",64100,Bayonne,,,,,,,,,,
Librairie Des livres et des hommes,Arnaud Buissonin & Nathalie Poncet,"4, rue de Lorraine",21200,Beaune,,,,,,,,,,
Les sandales d'empédocle,Michel Jupille,"95, grande rue",25000,Besançon,,,,,,,,,,
Forum  ,Marion Royer,15 grande rue,25000,Besançon,a eu destinée et installation et envoi à faire petrescu,,,,,,,,,
Librairie L'intranquille,Bruno Bachelier,"5, rue Edouard Baille",25000,Besançon,,,,,,,,,,
Librairie L'Intranquille,Michel Mechiet (directeur),59 rue des Granges,25000,Besançon,,,,,,,,,,
Librairie Le Festin nu,,"2, rue Jean Bart",64200,Biarritz,,,,,,,,,,
Bookstore,Kristel Bourg,"27, place Clémenceau",64200,Biarritz,,,,,,,,,,
Librairie Labbé,Stéphanie Le Tohic,"9, rue Porte Chartraine",41000,Blois,,,,,,,,,,
Librairie du théâtre,Lydie Zannini,"8, cours de Verdun",01000,Bourg en Bresse,,,,,,,,,,
Librairie Dialogues,Clara (litté ?),Square Monseigneur Roull,29200,Brest,,,,,,,,,,
Librairie générale du Calvados,Arnaud Coignet et Nicolas Coulmain,98 rue Saint Pierre,14000,Caen,,,,,,,,,,
Eurekâ street,Pierre et Bénédicte Thomine,"19, place de la République",14000,Caen,,,,,,,,,,
Brouillon de culture,"Laurent Layer (resp), Sophie Peugnez (polar)","29, rue Saint Sauveur",14000,Caen,,,,,,,,,,
Mots et compagnie,,35 rue Antoine Armagnac,11000,Carcassonne,,,,,,,,,,
Le Lezard amoureux,Marcelle Capiaumont,"28, boulevard Émile Zola",84300,Cavaillon,,,,,,,,,,
Des gourmandises sur l'étagère,Odile Laroque,7 bis mail de Bourg chevreuil,35510,Cesson Sévigné,,,,,,,,,,
La Mandragore,,"3, rue des tonneliers",71100,Châlon sur Saône,,,,,,,,,,
Librairie Garin,,boulevard du théâtre,73000,Chambéry,,,,,,,,,,
Librairie L'esperluète,"Céline L,","10, rue Noël Ballay",28000,Chartres,,,ont géré pr ventes de fleuve,,,,,,,
Librairie Felbacq Plein Ciel,Elodie Schneider,2 rue Ferdinand Buisson,02300,Chauny,,,,,,,,,,
Librairie Ryst,"Joëlle, Sandrine",16 Rue Grande Rue,50100,Cherbourg-Octeville,,,,,,,,,,
La librairie de Clermont,Dominique,"5 bis, rue des gras",63000,Clermont Ferrand,,,,,,,,,,
Librairie des Signes,Camille de Fourny (gérant),"17, rue Pierre Sauvage",60200,Compiègne,,639 avenue octave butin 60280 Margny les compiègne,,,,,,,faire envoi avec tout depuis le début,
Le livre phare,Catherine Véron,"8, rue Dumont d'Urville",29900,Concarneau,,,,,,,,,,
Librairie Campus,,"10, rue du Mirailh",40100,Dax,,,,,,,,,,
Librairie de Deauville,Caroline Kuntz,88 rue Eugène Colas,14800,Deauville,,,,,,,,,particulièrement intéressé par auteurs juifs,
Librairie La ruelle,Marlène Deneuve,"18, place du général de Gaulle",04000,Digne les Bains,,,,,,,,,,
Librairie Grangier,Delphine de Loisy,"14, rue Adolphe Dietrich",21000,Dijon,,,,,,,,,,
Le Grenier,Gaël Mahé,"6, place Duclos",22100,Dinan,,,,,,,,,,
Librairie Passerelle,Lise-Marie Dolenc et Murielle Gobert-Bacha,"16, rue de la Sous Préfecture",39100,Dole,,,,,,,,,,
Librairie Papiers collés,Valérie Pelloquin et Isabelle Ribardière,4 boulevard Georges Clémenceau,83300,Draguignian,,,,,,,,,,
La rose des vents,,"5, grande rue Maurice Viollette",28100,Dreux,,soutient installation,,,,,,,,
Au moulin des lettres,Laurence Grivot,"50, quai des bons enfants",88000,Épinal,,,,,,,,,,
Librairie La Carline,"Benjamin Petitdan, Marie-Aube Nimsgern et Anne Petit","13, boulevard des Martyrs",04300,Forcalquier,,,,,,,,,,
L'espace livre,"Frédéric (polar, sf)",100 Cours du général de Gaulle,33170,Gradignan,,,,,,,,,,
Librairie Arthaud,Alexandra Vilcocq,"23, grande rue",38000,Grenoble,,,,,,,,,,
Librairie Le Square,Ludwig Blondel,"2, place du Docteur Léon Martin",38000,Grenoble,,,,,,,,,,
Librairie Mots et images,,"10, rue Saint Yves",22200,Guingamp,,,,,,,,,,
La soupe de l'espace,Anne Hopkins,"9, avenue des iles d'or",83400,Hyeres,,,,,,,,,,
Au poivre d'âne,Valérie Ehrhardt,"46, quai François Mitterrand bât. De l'armement",13600,La Ciotat,,,,,,,,,,
Librairie Les Saisons,,"21, rue Saint Nicolas",17000,La Rochelle,,,,,Lortchenkov,+ envoyer destinée,,,,
Librairie Calligramme,Jacky Flenoir,"24, rue Chaudrier",17000,La Rochelle,,,,,,,,,,
Christmann,Madame Christmann,"17, rue des marchés",77400,Lagny sur Marne,,,,,,,,,,
Gwalarn,David Bars,"15, rue des chapeliers",22300,Lannion,,,,,,,,,,
M'lire,"Delphine, Sarah","3, rue de la paix",53000,Laval,,,,,,,,,,
Librairie La Galerne,Anne-Lise D. ; Stéphanie F,"148, rue Victor Hugo",76600,Le Havre,,,,,,,,,,
Librairie Doucet,Linda Nathalie et Nadia (litté et polar),"66, avenue du Général de Gaulle",72000,Le Mans,,,,,,,,,,
Librairie Thuard,,"24, rue de l'étoile",72000,Le Mans,,,,,,,,,,
Librairie Vandromme,Clo Brion,Rue Droite,07140,Les Vans,,,,,,,,,,
Les quatre chemins,,"142, rue de Paris",59000,Lille,,,,,,,,,,
Le Furet du Nord,bruno sagaphoum,"15, place du Général de Gaulle",59800,Lille,,adresse perso bruno sagaphoum 66 rue de la halle 59000 lille,,,,,,,,
Le bateau livre,Hélène,"154, rue Gambetta",59800,Lille,,,,,,,,,à vérifier,
Librairie Page et Plume,Sébastien Lavy / Aurélie Janssens,"2-4, place de la Motte",87000,Limoges,,adresse perso sebastien lavy 8 route de la côte 87800 saint hilaire -les places,,,,,,,,
Grands chemins,Catherine Marin-Pestel,24 place de la République,14100,Lisieux,,,,,,,,,,
La boîte de Pandore,Laurent  ,"15, rue Perrin",39000,Lons le Saunier,,,,,,,,,,
Librairie Les Arcades,Nathalie Bray,"61-63, rue du Commerce",39000,Lons le Saunier,,,,,,,,,,
Librairie le bal des ardents,Elsa,"17, rue Neuve",69001,Lyon,,,,,lortchenkov,,,,,
Ouvrir l'œil,,18 rue des Capucins,69001,Lyon,,,,,lortchenkov,,,,,
Librairie Passages,Erik Fitoussi,"11, rue de Brest",69002,Lyon,,,,,,,,,,
Decitre confluence,Marion Geerlier,"12, cours Charlemagne",69002,Lyon,,,,,,,,,,
Librairie du tramway,Frédérique,"92, rue Moncey",69003,Lyon,,,,,,,,,,
Gibert Joseph,,6 rue de la barre,69002,Lyon,,,,,,,,,,
Gibert Joseph,,"pole commercial carré de soie, 2 rue jacquard",69120,vaulx en velin,,,,,,,,,,
,,,,,,,,,,,,,,
Librairie la voie aux chapitres,,"4, rue Saint Jérôme",69007,Lyon,,,,,,,,,,
Decitre,Fabrice Baumann,"16, rue Desparmet",69008,Lyon,,,,,,,,,vérifier rôle du contact,
Le cadran lunaire,,"27, rue Franche",71000,Mâcon,,,,,,,,,,
Librairie Hisler even,Pauline Receveur,"4, rue des tilleuls",57530,Maizeroy,,,,,,,,,,
Au poivre d'âne,Olivier Roman,"9, place de l'hôtel de ville",04100,Manosque,,,,,,,,,,
Librairie Maupetit,"Geneviève (Litté), Claire (SF) ","142-144, La Canebière",13001,Marseille,,,,,,,,,,
Librairie l'Odeur du temps,Roland Alberto,"35, rue Pavillon",13001,Marseille,,,,,,,,,,
La cour des grands,Cécile Coulette,"11/13, rue Taison",57000,Metz,,,,,,,,,coup de cœur refuge,
Librairie Caractères,Anthony Clément,"34, rue Frédéric Bastiat",40000,Mont de Marsan,,,,,,,,,,
Librairie du Hérisson,Stéphanie,70 rue du général Leclerc,45200,Montargis,,,,,,,,,,
Librairie La femme renard,Caroline Berthelot,"115, faubourg lacapelle",82000,Montauban,,,,,,,,,,
Nouvelle librairie Baume,Dianne de Pontcharra,"52, rue Pierre Julien",26200,Montélimar,,,,,,,,,,
Le grain des mots,,"13, boulevard du jeu de paume",34000,Montpellier,,,,,,,,,,
Librairie Sauramps,Nathalie Seck,Le triangle Allée Jules Milhau,34000,Montpellier,,,,,,,,,,
Les 3 souhaits,Cécile,"15, rue Pasteur",25500,Morteau,,,,,,,,,,
Librairie Bisey,Mathilde,"35, place de la réunion",68100,Mulhouse,,,,,,,,,,
